Month,LocationName,Book,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-01-03,Germany,Asset Backed,OffPeak,54320.58,-2836812.4598,-1852874.9838,-983937.4759999998
2025-01-03,Germany,Asset Backed,Peak,55977.8,-2976572.5215,-3489096.2739999997,512523.75249999994
2025-01-03,Spain,Asset Backed,OffPeak,23875.59,-1026122.7369,-814396.3748999999,-211726.36200000008
2025-01-03,Spain,Asset Backed,Peak,23880.92,-986597.5753,-1488497.7436,501900.1682999999
2025-01-03,Switzerland,Asset Backed,OffPeak,7705.73,-9785.2711,-262842.45029999997,253057.17919999996
2025-01-03,Switzerland,Asset Backed,Peak,3378.64,192052.6348,-210590.63119999997,402643.26599999995
2025-01-03,United Kingdom,Asset Backed,OffPeak,-10035.22,483299.1597,342301.3542,140997.80550000002
2025-01-03,United Kingdom,Asset Backed,Peak,-5913.01,251564.7792,368557.9133000001,-116993.13410000008
2025-01-04,France,Asset Backed,OffPeak,-32904.13,1607336.014,1122359.8743,484976.13969999994
2025-01-04,France,Asset Backed,Peak,-30988.05,1529496.3493,1931485.1565,-401988.80720000016
2025-01-04,Germany,Asset Backed,OffPeak,53492.19,-2789554.0432,-1824618.6009,-964935.4423000002
2025-01-04,Germany,Asset Backed,Peak,53057.91,-2796387.7788,-3307099.5302999998,510711.7514999998
2025-01-04,Spain,Asset Backed,OffPeak,23026.34,-995283.8928,-785428.4574,-209855.43540000007
2025-01-04,Spain,Asset Backed,Peak,18556.41,-740617.7179,-1156621.0352999999,416003.3173999998
2025-01-04,Switzerland,Asset Backed,OffPeak,9126.64,-108114.1654,-311309.69039999996,203195.52499999997
2025-01-04,Switzerland,Asset Backed,Peak,1107.03,347387.2848,-69001.17989999999,416388.4647
2025-01-04,United Kingdom,Asset Backed,OffPeak,-3285.79,84822.5347,112078.29689999999,-27255.762199999983
2025-01-04,United Kingdom,Asset Backed,Peak,-852.98,-14737.9576,53166.243400000014,-67904.20100000002
2025-01-05,France,Asset Backed,OffPeak,-31450.68,1519968.6941,1072782.6948,447185.9993
2025-01-05,France,Asset Backed,Peak,-31903.22,1543103.9181,1988527.7026,-445423.78450000007
2025-01-05,Germany,Asset Backed,OffPeak,57272.35,-2979868.694,-1953559.8585,-1026308.8355
2025-01-05,Germany,Asset Backed,Peak,54961.13,-2893637.1535,-3425727.2328999997,532090.0793999997
2025-01-05,Spain,Asset Backed,OffPeak,19586.0,-849216.0312,-668078.46,-181137.5712
2025-01-05,Spain,Asset Backed,Peak,22258.72,-1019138.1766,-1387386.0176,368247.8409999999
2025-01-05,Switzerland,Asset Backed,OffPeak,3038.47,205598.3554,-103642.21170000004,309240.56710000004
2025-01-05,Switzerland,Asset Backed,Peak,8112.32,-25704.3034,-505640.90559999994,479936.60219999996
2025-01-05,United Kingdom,Asset Backed,OffPeak,-13341.47,654349.864,455077.5417,199272.32229999994
2025-01-05,United Kingdom,Asset Backed,Peak,-11931.56,528858.7544,743694.1348,-214835.38040000002
2025-01-06,France,Asset Backed,OffPeak,-38190.84,1853122.6526,1302689.5524,550433.1002
2025-01-06,France,Asset Backed,Peak,-38447.68,1843850.396,2396443.8944,-552593.4984000002
2025-01-06,Germany,Asset Backed,OffPeak,55988.92,-2912517.1642,-1909782.0611999999,-1002735.1030000001
2025-01-06,Germany,Asset Backed,Peak,49528.04,-2602178.3371,-3087082.7331999997,484904.39609999955
2025-01-06,Spain,Asset Backed,OffPeak,14446.66,-483118.7272,-492775.57259999996,9656.845399999933
2025-01-06,Spain,Asset Backed,Peak,16074.54,-577603.3006,-1001926.0782,424322.77760000003
2025-01-06,Switzerland,Asset Backed,OffPeak,10919.22,-113353.7112,-372454.5942,259100.88299999997
2025-01-06,Switzerland,Asset Backed,Peak,18074.73,-492732.5213,-1126597.9209,633865.3996
2025-01-06,United Kingdom,Asset Backed,OffPeak,-1400.08,-31355.7668,47756.72880000002,-79112.49560000002
2025-01-06,United Kingdom,Asset Backed,Peak,-8103.64,348606.105,505099.8812,-156493.77620000002
2025-01-07,France,Asset Backed,OffPeak,-35933.08,1685823.9366,1225677.3588,460146.57779999985
2025-01-07,France,Asset Backed,Peak,-37774.33,1804256.1587,2354473.9888999998,-550217.8301999997
2025-01-07,Germany,Asset Backed,OffPeak,52849.63,-2778547.0319,-1802700.8793,-975846.1525999999
2025-01-07,Germany,Asset Backed,Peak,49819.76,-2613335.8355,-3105265.6407999997,491929.80529999966
2025-01-07,Spain,Asset Backed,OffPeak,24699.49,-1079485.841,-842499.6039,-236986.23710000003
2025-01-07,Spain,Asset Backed,Peak,23909.68,-988695.7662,-1490290.3543999998,501594.5881999999
2025-01-07,Switzerland,Asset Backed,OffPeak,4217.1,246653.7219,-143845.28099999996,390499.00289999996
2025-01-07,Switzerland,Asset Backed,Peak,10351.78,-88181.8422,-645226.4474,557044.6052
2025-01-07,United Kingdom,Asset Backed,OffPeak,-3103.73,114491.5232,105868.23030000005,8623.292899999942
2025-01-07,United Kingdom,Asset Backed,Peak,-8733.1,390353.9609,544334.123,-153980.16210000002
2025-01-08,France,Asset Backed,OffPeak,-36951.47,1792809.4653,1260414.6417,532394.8236
2025-01-08,France,Asset Backed,Peak,-34787.55,1646100.4766,2168307.9915,-522207.51490000007
2025-01-08,Germany,Asset Backed,OffPeak,47324.8,-2476547.2962,-1614248.928,-862298.3682000001
2025-01-08,Germany,Asset Backed,Peak,63246.41,-3276444.1743,-3942148.7353,665704.5609999998
2025-01-08,Spain,Asset Backed,OffPeak,20141.4,-767391.1024,-687023.154,-80367.9484
2025-01-08,Spain,Asset Backed,Peak,20627.06,-809543.13,-1285684.6498,476141.5198
2025-01-08,Switzerland,Asset Backed,OffPeak,17167.89,-435429.5509,-585596.7279,150167.17700000008
2025-01-08,Switzerland,Asset Backed,Peak,11384.12,-111405.6217,-709572.1996,598166.5779
2025-01-08,United Kingdom,Asset Backed,OffPeak,-10305.59,453665.863,351523.6749,102142.18810000003
2025-01-08,United Kingdom,Asset Backed,Peak,-12736.3,602953.0931,793853.5789999999,-190900.48589999985
2025-01-09,France,Asset Backed,OffPeak,-41688.56,1972872.2362,1421996.7815999999,550875.4546
2025-01-09,France,Asset Backed,Peak,-35366.88,1638774.9957,2204417.6304,-565642.6347
2025-01-09,Germany,Asset Backed,OffPeak,54300.54,-2870320.261,-1852191.4194,-1018128.8415999999
2025-01-09,Germany,Asset Backed,Peak,60395.9,-3130997.3691,-3764476.4469999997,633479.0778999999
2025-01-09,Spain,Asset Backed,OffPeak,11334.17,-372396.5223,-386608.5387,14212.016399999964
2025-01-09,Spain,Asset Backed,Peak,14997.08,-538791.8073,-934767.9964,395976.18909999996
2025-01-09,Switzerland,Asset Backed,OffPeak,9412.94,-62910.983,-321075.3834,258164.40039999998
2025-01-09,Switzerland,Asset Backed,Peak,4019.13,198521.5599,-250512.37290000002,449033.9328
2025-01-09,United Kingdom,Asset Backed,OffPeak,-5266.17,193866.2894,179629.05870000002,14237.230699999986
2025-01-09,United Kingdom,Asset Backed,Peak,-15727.2,706274.4583,980276.3759999999,-274001.9176999999
2025-01-10,France,Asset Backed,OffPeak,-36453.37,1747715.9297,1243424.4507,504291.47900000005
2025-01-10,France,Asset Backed,Peak,-36910.04,1778094.9128,2300602.7931999997,-522507.8803999997
2025-01-10,Germany,Asset Backed,OffPeak,51755.82,-2681192.917,-1765391.0202,-915801.8968
2025-01-10,Germany,Asset Backed,Peak,61396.26,-3196446.2328,-3826828.8858,630382.6529999999
2025-01-10,Spain,Asset Backed,OffPeak,16123.93,-590777.0611,-549987.2523,-40789.8088
2025-01-10,Spain,Asset Backed,Peak,11402.64,-383296.4441,-710726.5512,327430.10709999996
2025-01-10,Switzerland,Asset Backed,OffPeak,6008.15,148854.018,-204937.9965,353792.01450000005
2025-01-10,Switzerland,Asset Backed,Peak,18532.72,-411329.3458,-1155144.4375999998,743815.0917999998
2025-01-10,United Kingdom,Asset Backed,OffPeak,-16992.55,789775.5537,579615.8805,210159.67320000008
2025-01-10,United Kingdom,Asset Backed,Peak,-1419.33,-432.0729,88466.83890000008,-88898.91180000007
2025-01-11,France,Asset Backed,OffPeak,-30248.36,1394204.5537,1031771.5596,362432.9941
2025-01-11,France,Asset Backed,Peak,-35295.45,1689656.8387,2199965.3985,-510308.55980000016
2025-01-11,Germany,Asset Backed,OffPeak,56234.54,-2967469.3176,-1918160.1594,-1049309.1582000002
2025-01-11,Germany,Asset Backed,Peak,52937.6,-2771249.5811,-3299600.608,528351.0268999999
2025-01-11,Spain,Asset Backed,OffPeak,15430.04,-572857.4737,-526318.6644,-46538.809299999964
2025-01-11,Spain,Asset Backed,Peak,20928.44,-837349.5112,-1304469.6652,467120.154
2025-01-11,Switzerland,Asset Backed,OffPeak,16456.69,-374229.7731,-561337.6959,187107.92280000006
2025-01-11,Switzerland,Asset Backed,Peak,11525.21,-149338.2413,-718366.3393,569028.098
2025-01-11,United Kingdom,Asset Backed,OffPeak,-6308.23,272656.9388,215173.72530000002,57483.21349999998
2025-01-11,United Kingdom,Asset Backed,Peak,-13316.25,611694.3658,830001.8624999999,-218307.4966999999
2025-01-12,France,Asset Backed,OffPeak,-36338.69,1710597.2387,1239512.7159,471084.52280000015
2025-01-12,France,Asset Backed,Peak,-35712.39,1688389.928,2225953.2687,-537563.3406999998
2025-01-12,Germany,Asset Backed,OffPeak,63844.76,-3327130.5221,-2177744.7636,-1149385.7585
2025-01-12,Germany,Asset Backed,Peak,45948.51,-2395728.2705,-2863970.6283,468242.3577999999
2025-01-12,Spain,Asset Backed,OffPeak,18571.64,-728273.9496,-633478.6404,-94795.30920000002
2025-01-12,Spain,Asset Backed,Peak,15513.14,-594163.8938,-966934.0162,372770.1224
2025-01-12,Switzerland,Asset Backed,OffPeak,5829.52,136461.2404,-198844.92719999998,335306.1676
2025-01-12,Switzerland,Asset Backed,Peak,7879.58,35963.1624,-491134.2214,527097.3838
2025-01-12,United Kingdom,Asset Backed,OffPeak,-2177.81,81552.6453,74285.09910000005,7267.546199999953
2025-01-12,United Kingdom,Asset Backed,Peak,-8234.55,365649.2785,513259.5015,-147610.223
2025-01-13,France,Asset Backed,OffPeak,-31266.71,1497393.8466,1066507.4781,430886.3685000001
2025-01-13,France,Asset Backed,Peak,-31266.12,1456683.3865,1948817.2596,-492133.87309999997
2025-01-13,Germany,Asset Backed,OffPeak,46722.35,-2500546.6496,-1593699.3585,-906847.2911
2025-01-13,Germany,Asset Backed,Peak,46888.3,-2418375.1911,-2922547.739,504172.5479000001
2025-01-13,Spain,Asset Backed,OffPeak,9016.77,-260290.8021,-307562.0247,47271.22260000001
2025-01-13,Spain,Asset Backed,Peak,5096.92,-30336.5009,-317691.0236000001,287354.5227000001
2025-01-13,Switzerland,Asset Backed,OffPeak,3212.54,256380.3518,-109579.73939999998,365960.09119999997
2025-01-13,Switzerland,Asset Backed,Peak,-819.81,383934.8162,51098.75729999998,332836.0589
2025-01-13,United Kingdom,Asset Backed,OffPeak,-4845.46,222020.9321,165278.64059999998,56742.29150000002
2025-01-13,United Kingdom,Asset Backed,Peak,4893.16,-306508.0773,-304990.6628,-1517.4145000000135
2025-01-14,France,Asset Backed,OffPeak,-37175.24,1770719.7173,1268047.4364,502672.2808999999
2025-01-14,France,Asset Backed,Peak,-32395.17,1549869.956,2019190.9460999998,-469320.9900999998
2025-01-14,Germany,Asset Backed,OffPeak,58788.45,-3098312.8739,-2005274.0295,-1093038.8444
2025-01-14,Germany,Asset Backed,Peak,50251.14,-2647410.0661,-3132153.5562,484743.49010000005
2025-01-14,Spain,Asset Backed,OffPeak,7406.72,-160449.1003,-252643.2192,92194.1189
2025-01-14,Spain,Asset Backed,Peak,9444.65,-263259.4721,-588685.0345,325425.56239999994
2025-01-14,Switzerland,Asset Backed,OffPeak,14325.78,-302740.3762,-488652.3558,185911.97960000002
2025-01-14,Switzerland,Asset Backed,Peak,7270.73,45015.8073,-453184.6009,498200.4082
2025-01-14,United Kingdom,Asset Backed,OffPeak,-10778.75,500771.5076,367663.16250000003,133108.34509999998
2025-01-14,United Kingdom,Asset Backed,Peak,2645.5,-201454.8936,-164894.015,-36560.8786
2025-01-15,France,Asset Backed,OffPeak,-30529.9,1430276.2403,1041374.889,388901.3513
2025-01-15,France,Asset Backed,Peak,-29025.9,1387055.1742,1809184.3469999998,-422129.1727999998
2025-01-15,Germany,Asset Backed,OffPeak,50201.05,-2650947.047,-1712357.8155,-938589.2314999998
2025-01-15,Germany,Asset Backed,Peak,50998.87,-2676133.6423,-3178759.5670999996,502625.9247999997
2025-01-15,Spain,Asset Backed,OffPeak,6081.92,-67826.0248,-207454.2912,139628.26640000002
2025-01-15,Spain,Asset Backed,Peak,10193.23,-294633.9232,-635344.0259,340710.1027
2025-01-15,Switzerland,Asset Backed,OffPeak,9981.75,-73614.2414,-340477.49250000005,266863.25110000005
2025-01-15,Switzerland,Asset Backed,Peak,6577.77,29759.5959,-409992.4041,439752.0
2025-01-15,United Kingdom,Asset Backed,OffPeak,432.66,-90149.5273,-14758.032600000057,-75391.49469999995
2025-01-15,United Kingdom,Asset Backed,Peak,2911.28,-186505.3205,-181460.08240000004,-5045.238099999959
2025-01-16,France,Asset Backed,OffPeak,-31987.8,1500483.1356,1091103.858,409379.2775999999
2025-01-16,France,Asset Backed,Peak,-33907.21,1575150.9911,2113436.3992999997,-538285.4081999997
2025-01-16,Germany,Asset Backed,OffPeak,44391.64,-2339811.6281,-1514198.8403999999,-825612.7877
2025-01-16,Germany,Asset Backed,Peak,44220.94,-2357742.1387,-2756291.1902,398549.05150000006
2025-01-16,Spain,Asset Backed,OffPeak,9043.81,-177180.1149,-308484.3591,131304.24420000002
2025-01-16,Spain,Asset Backed,Peak,5073.13,-72475.2152,-316208.1929,243732.97770000002
2025-01-16,Switzerland,Asset Backed,OffPeak,4428.0,173140.1694,-151039.08,324179.2494
2025-01-16,Switzerland,Asset Backed,Peak,1689.53,285159.982,-105308.40490000002,390468.38690000004
2025-01-16,United Kingdom,Asset Backed,OffPeak,-6755.23,294342.7569,230420.89529999997,63921.861600000004
2025-01-16,United Kingdom,Asset Backed,Peak,-5456.62,189183.1202,340111.1246,-150928.00439999998
2025-01-17,France,Asset Backed,OffPeak,-26486.24,1227638.6188,903445.6464,324192.9724000001
2025-01-17,France,Asset Backed,Peak,-28632.55,1330682.5495,1784666.8414999999,-453984.2919999999
2025-01-17,Germany,Asset Backed,OffPeak,45937.91,-2414233.1012,-1566942.1101,-847290.9911
2025-01-17,Germany,Asset Backed,Peak,53020.29,-2762605.1492,-3304754.6757,542149.5265000002
2025-01-17,Spain,Asset Backed,OffPeak,10074.56,-309758.5567,-343643.2416,33884.68489999999
2025-01-17,Spain,Asset Backed,Peak,3990.45,55884.0731,-248724.74850000002,304608.8216
2025-01-17,Switzerland,Asset Backed,OffPeak,743.68,319119.7383,-25366.92480000001,344486.66310000006
2025-01-17,Switzerland,Asset Backed,Peak,3040.2,215051.7933,-189495.66600000003,404547.4593
2025-01-17,United Kingdom,Asset Backed,OffPeak,-8905.67,391802.759,303772.40369999997,88030.35530000005
2025-01-17,United Kingdom,Asset Backed,Peak,2507.32,-156102.2614,-156281.25559999997,178.99419999998645
2025-01-18,France,Asset Backed,OffPeak,-30871.67,1440706.8159,1053032.6637,387674.1522000001
2025-01-18,France,Asset Backed,Peak,-26922.64,1266900.6487,1678088.1512,-411187.50249999994
2025-01-18,Germany,Asset Backed,OffPeak,51488.43,-2707380.5219,-1756270.3473,-951110.1746
2025-01-18,Germany,Asset Backed,Peak,42793.5,-2289114.2309,-2667318.855,378204.62410000013
2025-01-18,Spain,Asset Backed,OffPeak,6182.75,-95569.1839,-210893.6025,115324.4186
2025-01-18,Spain,Asset Backed,Peak,6095.21,-63980.6399,-379914.43929999997,315933.79939999996
2025-01-18,Switzerland,Asset Backed,OffPeak,2603.13,244747.4479,-88792.76429999998,333540.21219999995
2025-01-18,Switzerland,Asset Backed,Peak,8245.36,-3594.2562,-513933.2888,510339.0326
2025-01-18,United Kingdom,Asset Backed,OffPeak,-2581.39,103861.0626,88051.21289999998,15809.84970000002
2025-01-18,United Kingdom,Asset Backed,Peak,-4872.46,212956.7697,303700.4318000001,-90743.66210000007
2025-01-19,France,Asset Backed,OffPeak,-23126.41,1059334.8108,788841.8451,270492.96570000006
2025-01-19,France,Asset Backed,Peak,-29193.91,1357864.6834,1819656.4103,-461791.7269000001
2025-01-19,Germany,Asset Backed,OffPeak,49881.31,-2637065.8323,-1701451.4841,-935614.3481999999
2025-01-19,Germany,Asset Backed,Peak,45095.25,-2349924.0083,-2810786.9325,460862.92420000024
2025-01-19,Spain,Asset Backed,OffPeak,12274.21,-376455.3984,-418673.3031,42217.904700000014
2025-01-19,Spain,Asset Backed,Peak,3995.18,-17254.0822,-249019.56939999998,231765.48719999997
2025-01-19,Switzerland,Asset Backed,OffPeak,4070.71,190968.3101,-138851.91809999998,329820.2282
2025-01-19,Switzerland,Asset Backed,Peak,5847.08,77718.637,-364448.49639999995,442167.13339999993
2025-01-19,United Kingdom,Asset Backed,OffPeak,-6180.84,276762.8767,210828.45240000004,65934.42429999998
2025-01-19,United Kingdom,Asset Backed,Peak,2377.78,-192605.2096,-148207.02740000008,-44398.18219999992
2025-01-20,France,Asset Backed,OffPeak,-32515.89,1509442.4495,1109117.0079,400325.4416
2025-01-20,France,Asset Backed,Peak,-33697.85,1563358.2731,2100386.9905,-537028.7173999997
2025-01-20,Germany,Asset Backed,OffPeak,49811.74,-2604898.6224,-1699078.4514,-905820.1710000003
2025-01-20,Germany,Asset Backed,Peak,54535.86,-2826056.1937,-3399220.1538,573163.9600999998
2025-01-20,Spain,Asset Backed,OffPeak,14861.42,-563685.9685,-506923.0362,-56762.932299999986
2025-01-20,Spain,Asset Backed,Peak,21023.69,-851997.2156,-1310406.5977,458409.38210000005
2025-01-20,Switzerland,Asset Backed,OffPeak,5597.6,64612.8808,-190934.136,255547.01679999998
2025-01-20,Switzerland,Asset Backed,Peak,6440.06,96278.9663,-401408.93980000005,497687.9061
2025-01-20,United Kingdom,Asset Backed,OffPeak,-12794.08,639807.3356,436406.0688,203401.26679999998
2025-01-20,United Kingdom,Asset Backed,Peak,-17787.76,859299.7561,1108711.0807999999,-249411.32469999988
2025-01-21,France,Asset Backed,OffPeak,-33529.07,1622405.6447,1143676.5777,478729.06700000004
2025-01-21,France,Asset Backed,Peak,-37779.5,1810431.2666,2354796.235,-544364.9683999999
2025-01-21,Germany,Asset Backed,OffPeak,49506.36,-2580966.3033,-1688661.9396,-892304.3636999999
2025-01-21,Germany,Asset Backed,Peak,58451.73,-3045170.9348,-3643296.3309,598125.3961
2025-01-21,Spain,Asset Backed,OffPeak,15701.4,-597759.7254,-535574.754,-62184.97140000004
2025-01-21,Spain,Asset Backed,Peak,19853.14,-770223.858,-1237446.2162000001,467222.35820000013
2025-01-21,Switzerland,Asset Backed,OffPeak,4265.6,169546.7119,-145499.616,315046.32790000003
2025-01-21,Switzerland,Asset Backed,Peak,6432.63,65600.5811,-400945.8278999999,466546.4089999999
2025-01-21,United Kingdom,Asset Backed,OffPeak,-1180.06,56019.7712,40251.846599999975,15767.924600000028
2025-01-21,United Kingdom,Asset Backed,Peak,-274.87,4023.6734,17132.647100000017,-13108.973700000017
2025-01-22,France,Asset Backed,OffPeak,-28334.04,1330522.4539,966474.1044000001,364048.3495
2025-01-22,France,Asset Backed,Peak,-38242.79,1800837.5742,2383673.1007,-582835.5264999999
2025-01-22,Germany,Asset Backed,OffPeak,55047.03,-2878733.6223,-1877654.1933,-1001079.429
2025-01-22,Germany,Asset Backed,Peak,56780.02,-2984661.5328,-3539098.6466,554437.1137999999
2025-01-22,Spain,Asset Backed,OffPeak,20113.18,-777171.1288,-686060.5697999999,-91110.55900000001
2025-01-22,Spain,Asset Backed,Peak,16361.12,-628177.4495,-1019788.6096,391611.1601
2025-01-22,Switzerland,Asset Backed,OffPeak,-341.98,356985.0384,11664.937800000016,345320.1006
2025-01-22,Switzerland,Asset Backed,Peak,5508.38,112310.2441,-343337.3254000001,455647.5695000001
2025-01-22,United Kingdom,Asset Backed,OffPeak,-5981.62,236438.5778,204033.05819999994,32405.519600000058
2025-01-22,United Kingdom,Asset Backed,Peak,-13052.59,605068.3509,813567.9347,-208499.58380000002
2025-01-23,France,Asset Backed,OffPeak,-28643.6,1327734.2805,977033.196,350701.0845000001
2025-01-23,France,Asset Backed,Peak,-31010.0,1464995.7035,1932853.3,-467857.5965
2025-01-23,Germany,Asset Backed,OffPeak,57570.72,-3066058.0752,-1963737.2592,-1102320.8159999999
2025-01-23,Germany,Asset Backed,Peak,46378.88,-2414627.6636,-2890795.5904,476167.9268
2025-01-23,Spain,Asset Backed,OffPeak,21591.97,-866846.6557,-736502.0967,-130344.55900000001
2025-01-23,Spain,Asset Backed,Peak,20720.62,-811754.0913,-1291516.2446,479762.1533000001
2025-01-23,Switzerland,Asset Backed,OffPeak,1625.8,311458.4337,-55456.037999999986,366914.4717
2025-01-23,Switzerland,Asset Backed,Peak,2869.02,241239.9198,-178826.0166,420065.9364
2025-01-23,United Kingdom,Asset Backed,OffPeak,-15237.1,732857.9561,519737.481,213120.47509999992
2025-01-23,United Kingdom,Asset Backed,Peak,-10502.21,506830.0239,654602.7493,-147772.72540000005
2025-01-24,France,Asset Backed,OffPeak,-41220.21,2006751.5234,1406021.3631,600730.1603000001
2025-01-24,France,Asset Backed,Peak,-37283.26,1753022.2357,2323865.5958,-570843.3600999997
2025-01-24,Germany,Asset Backed,OffPeak,59003.84,-3066135.9218,-2012620.9824,-1053514.9394
2025-01-24,Germany,Asset Backed,Peak,56473.28,-2928527.762,-3519979.5423999997,591451.7803999996
2025-01-24,Spain,Asset Backed,OffPeak,24562.11,-1008976.5377,-837813.5721,-171162.9656
2025-01-24,Spain,Asset Backed,Peak,16271.8,-629560.576,-1014221.294,384660.718
2025-01-24,Switzerland,Asset Backed,OffPeak,2903.77,215754.5513,-99047.59469999999,314802.14599999995
2025-01-24,Switzerland,Asset Backed,Peak,11795.67,-149265.1926,-735224.1111,585958.9184999999
2025-01-24,United Kingdom,Asset Backed,OffPeak,-20873.78,1021791.0191,712004.6357999999,309786.3833000001
2025-01-24,United Kingdom,Asset Backed,Peak,-5836.69,278680.7528,363800.8877,-85120.1349
2025-01-25,France,Asset Backed,OffPeak,-39636.97,1911676.7759,1352017.0467,559659.7292
2025-01-25,France,Asset Backed,Peak,-26502.77,1201491.323,1651917.6541,-450426.33109999984
2025-01-25,Germany,Asset Backed,OffPeak,54911.28,-2884733.934,-1873023.7608,-1011710.1731999998
2025-01-25,Germany,Asset Backed,Peak,48802.27,-2578609.2675,-3041845.4891,463236.2215999998
2025-01-25,Spain,Asset Backed,OffPeak,24452.32,-1002418.7207,-834068.6352,-168350.08549999993
2025-01-25,Spain,Asset Backed,Peak,20749.65,-809412.0889,-1293325.6845,483913.5956
2025-01-25,Switzerland,Asset Backed,OffPeak,-3251.2,546947.1736,110898.432,436048.74159999995
2025-01-25,Switzerland,Asset Backed,Peak,6964.55,48111.1342,-434100.4015,482211.5357
2025-01-25,United Kingdom,Asset Backed,OffPeak,-878.34,-7991.837,29960.1774,-37952.0144
2025-01-25,United Kingdom,Asset Backed,Peak,-10148.98,490592.6161,632585.9234000001,-141993.3073000001
2025-01-26,France,Asset Backed,OffPeak,-38623.74,1853240.4995,1317455.7714,535784.7281
2025-01-26,France,Asset Backed,Peak,-40208.73,1925929.2014,2506210.1409,-580280.9395000001
2025-01-26,Germany,Asset Backed,OffPeak,58079.45,-2995999.0998,-1981090.0395,-1014909.0603
2025-01-26,Germany,Asset Backed,Peak,58373.66,-3018897.2761,-3638430.2278,619532.9517000001
2025-01-26,Spain,Asset Backed,OffPeak,21596.82,-852946.2484,-736667.5302,-116278.7182
2025-01-26,Spain,Asset Backed,Peak,11260.42,-362945.7132,-701861.9785999999,338916.2653999999
2025-01-26,Switzerland,Asset Backed,OffPeak,5934.9,111256.8475,-202439.43899999995,313696.28649999993
2025-01-26,Switzerland,Asset Backed,Peak,7719.02,-19144.2072,-481126.5166,461982.30939999997
2025-01-26,United Kingdom,Asset Backed,OffPeak,-12929.18,594442.3692,441014.3298,153428.03939999995
2025-01-26,United Kingdom,Asset Backed,Peak,-11882.39,588763.4481,740629.3687,-151865.92059999995
2025-01-27,France,Asset Backed,OffPeak,-54235.97,2634351.7359,1849988.9367,784362.7992000002
2025-01-27,France,Asset Backed,Peak,-41645.3,2030221.2795,2595751.549,-565530.2695000002
2025-01-27,Germany,Asset Backed,OffPeak,49754.71,-2620998.9483,-1697133.1581,-923865.7901999999
2025-01-27,Germany,Asset Backed,Peak,53027.88,-2767509.0676,-3305227.7604,537718.6927999998
2025-01-27,Spain,Asset Backed,OffPeak,17934.41,-699189.3438,-611742.7251,-87446.61869999999
2025-01-27,Spain,Asset Backed,Peak,11348.74,-340115.1379,-707366.9642,367251.8263000001
2025-01-27,Switzerland,Asset Backed,OffPeak,12956.95,-235073.6675,-441961.5645,206887.89699999997
2025-01-27,Switzerland,Asset Backed,Peak,2788.83,260089.3084,-173827.77389999994,433917.08229999995
2025-01-27,United Kingdom,Asset Backed,OffPeak,7850.32,-359806.1087,-267774.41519999993,-92031.69350000005
2025-01-27,United Kingdom,Asset Backed,Peak,-2078.87,96110.3025,129575.96710000001,-33465.664600000004
